id,artist_lastfm,listeners_lastfm,scrobbles_lastfm
529,In Flames,,
530,Corinne Bailey Rae,,
531,The Wombats,,
532,The Stone Roses,,
533,Swedish House Mafia,,
534,Basement Jaxx,,
535,Daughtry,,
536,The Dandy Warhols,,
537,Bat for Lashes,,
538,Third Eye Blind,,
539,TLC,,
540,Kansas,,
541,The Bravery,,
542,Tom Petty and The Heartbreakers,,
543,Sex Pistols,,
544,Shinedown,,
545,White Lies,,
546,DJ Khaled,,
547,Kate Bush,,
548,Miike Snow,,
549,INXS,,
550,Cut Copy,,
551,Peter Gabriel,,
552,Edward Sharpe & The Magnetic Zeros,,
553,Static-X,,
554,Benny Benassi,,
555,Roxette,,
556,Pulp,,
557,The Byrds,,
558,David Gray,,
559,Kelly Rowland,,
560,Young Money,,
561,The Cinematic Orchestra,,
562,Ray LaMontagne,,
563,Tracy Chapman,,
564,The Kills,,
565,will.i.am,,
566,Puddle of Mudd,,
567,Bombay Bicycle Club,,
568,Whitesnake,,
569,Robin Thicke,,
570,Antonio Vivaldi,,
571,Manu Chao,,
572,Bad Religion,,
573,Tame Impala,,
574,The Mamas & the Papas,,
575,Rush,,
576,Paolo Nutini,,
577,Joe Cocker,,
578,Blue Öyster Cult,,
579,Gavin DeGraw,,
580,Brian Eno,,
581,Ennio Morricone,,
582,Macklemore & Ryan Lewis,,
583,Steppenwolf,,
584,of Montreal,,
585,Stars,,
586,Armin van Buuren,,
587,Cher,,
588,Simple Minds,,
589,The Lumineers,,
590,Yes,,
591,Sugababes,,
592,Def Leppard,,
593,UNKLE,,
594,Alien Ant Farm,,
595,Santigold,,
596,Mudvayne,,
597,Ariana Grande,,
598,Diana Krall,,
599,Yo La Tengo,,
600,Tricky,,
601,alt-J,,
602,Etta James,,
603,Dusty Springfield,,
604,Aaliyah,,
605,Chevelle,,
606,Mike Posner,,
607,Soulja Boy,,
608,Seal,,
609,Lamb,,
610,New Found Glory,,
611,The Allman Brothers Band,,
612,Bring Me the Horizon,,
613,Rufus Wainwright,,
614,NOFX,,
615,Tom Petty,,
616,Carly Rae Jepsen,,
617,Birdman,,
618,Manic Street Preachers,,
619,Mos Def,,
620,Cascada,,
621,Underworld,,
622,Supergrass,,
623,Europe,,
624,Jethro Tull,,
625,Survivor,,
626,Bastille,,
627,Doves,,
628,Angus & Julia Stone,,
629,Maxïmo Park,,
630,One Direction,,
631,Kool & The Gang,,
632,The Mars Volta,,
633,Roy Orbison,,
634,Erykah Badu,,
635,Mötley Crüe,,
636,Jamie Cullum,,
637,Him,,
638,Within Temptation,,
639,Laura Marling,,
640,Moloko,,
641,T. Rex,,
642,Joss Stone,,
643,N.W.A,,
644,John Coltrane,,
645,Mario,,
646,Heart,,
647,Mac Miller,,
648,Ingrid Michaelson,,
649,Devendra Banhart,,
650,Pavement,,
651,Dropkick Murphys,,
652,Glee Cast,,
653,Atreyu,,
654,Steve Miller Band,,
655,Bing Crosby,,
656,Live,,
657,Elbow,,
658,Carrie Underwood,,
659,311,,
660,Digitalism,,
661,Noah and the Whale,,
662,The Yardbirds,,
663,Dream Theater,,
664,Lionel Richie,,
665,Joni Mitchell,,
666,Thom Yorke,,
667,RJD2,,
668,Boys Like Girls,,
669,Barenaked Ladies,,
670,Enigma,,
671,Flyleaf,,
672,Echo & the Bunnymen,,
673,Nancy Sinatra,,
674,Sinéad O'Connor,,
675,Birdy,,
676,Zedd,,
677,Five Finger Death Punch,,
678,Primal Scream,,
679,Trivium,,
680,Chicago,,
681,Lamb of God,,
682,James Blake,,
683,Hooverphonic,,
684,Broken Bells,,
685,Rilo Kiley,,
686,Ladytron,,
687,Sam Cooke,,
688,The Stooges,,
689,Jane's Addiction,,
690,Trapt,,
691,Pyotr Ilyich Tchaikovsky,,
692,My Morning Jacket,,
693,Hinder,,
694,Joshua Radin,,
695,Shaggy,,
696,Selena Gomez & the Scene,,
697,Nouvelle Vague,,
698,Disclosure,,
699,Jay Sean,,
700,Tina Turner,,
701,Nicole Scherzinger,,
702,Lauryn Hill,,
703,Selena Gomez,,
704,Lady Antebellum,,
705,Elvis Costello,,
706,Frou Frou,,
707,Far East Movement,,
708,City and Colour,,
709,Awolnation,,
710,Willie Nelson,,
711,Guano Apes,,
712,Eddie Vedder,,
713,Clap Your Hands Say Yeah,,
714,Herbie Hancock,,
715,Theory of a Deadman,,
716,The Red Jumpsuit Apparatus,,
717,Thin Lizzy,,
718,Jeremih,,
719,Will Smith,,
720,Télépopmusik,,
721,Claude Debussy,,
722,Gossip,,
723,St. Vincent,,
724,Silverchair,,
725,Hilary Duff,,
726,Ace of Base,,
727,The Subways,,
728,Friendly Fires,,
729,James Taylor,,
730,B.B. King,,
731,Xzibit,,
732,Sam Smith,,
733,Cobra Starship,,
734,*NSYNC,,
735,Violent Femmes,,
736,Shania Twain,,
737,The Isley Brothers,,
738,The Vines,,
739,Children of Bodom,,
740,Tony Bennett,,
741,The Pretenders,,
742,3OH!3,,
743,A$AP Rocky,,
744,Blind Melon,,
745,Chamillionaire,,
746,Babyshambles,,
747,Kraftwerk,,
748,The Band,,
749,Portugal. The Man,,
750,Bowling for Soup,,
751,The Tallest Man on Earth,,
752,Ratatat,,
753,Gang Starr,,
754,Dolly Parton,,
755,The Drums,,
756,Sixpence None the Richer,,
757,The Cars,,
758,Hole,,
759,Saliva,,
760,Childish Gambino,,
761,Passenger,,
768,The Maccabees,,
769,t.A.T.u.,,
770,Dio,,
771,Buffalo Springfield,,
772,Caribou,,
773,Motion City Soundtrack,,
774,Howie Day,,
775,Ben Folds,,
776,Collective Soul,,
777,Bonnie Tyler,,
778,The Naked and Famous,,
779,Lloyd Banks,,
780,Toni Braxton,,
781,Ludovico Einaudi,,
782,The Last Shadow Puppets,,
783,Four Tet,,
784,Rancid,,
785,Tinie Tempah,,
786,Savage Garden,,
787,The Presidents of the United States of America,,
788,Everclear,,
789,The Human League,,
790,Vanessa Carlton,,
791,Nada Surf,,
792,Soft Cell,,
793,CeeLo Green,,
794,My Bloody Valentine,,
795,The Zombies,,
796,Emilíana Torrini,,
797,The Doobie Brothers,,
798,Curren$y,,
799,Jordin Sparks,,
800,The Streets,,
801,The Calling,,
802,Biffy Clyro,,
803,Nightmares on Wax,,
804,Switchfoot,,
805,Christina Perri,,
806,Local Natives,,
807,The Hollies,,
808,Architecture in Helsinki,,
809,Amy Macdonald,,
810,Velvet Revolver,,
811,Diana Ross,,
812,Grateful Dead,,
813,Hozier,,
814,Duke Ellington,,
815,Katie Melua,,
816,Patti Smith,,
817,Hot Hot Heat,,
818,Sepultura,,
819,Crossfade,,
822,Fuel,,
823,The Rapture,,
824,Franz Schubert,,
825,Styx,,
826,Misfits,,
827,Machine Head,,
828,Parov Stelar,,
829,Howard Shore,,
830,Nero,,
831,Buddy Holly,,
832,Public Enemy,,
834,Annie Lennox,,
835,Mobb Deep,,
836,Coolio,,
837,The Darkness,,
838,The Supremes,,
839,Grimes,,
840,Mando Diao,,
841,Angels & Airwaves,,
842,Cansei de Ser Sexy,,
843,Anthrax,,
844,Hollywood Undead,,
845,Silversun Pickups,,
846,Sly & The Family Stone,,
847,Chris Cornell,,
848,Peggy Lee,,
849,ATB,,
850,Rainbow,,
851,Donna Summer,,
852,America,,
853,Philip Glass,,
854,Escape the Fate,,
855,De La Soul,,
856,Waka Flocka Flame,,
857,Rascal Flatts,,
858,Chet Baker,,
859,Athlete,,
860,Finger Eleven,,
861,The Album Leaf,,
862,Amon Tobin,,
863,Brandy,,
864,The Monkees,,
865,Ashlee Simpson,,
866,Jack White,,
867,Eagle-Eye Cherry,,
868,Anberlin,,
869,Jewel,,
870,JoJo,,
871,As I Lay Dying,,
872,The Veronicas,,
873,Simply Red,,
874,Dope,,
875,UB40,,
876,Grouplove,,
877,Semisonic,,
878,Fever Ray,,
879,Ben Howard,,
880,Men at Work,,
881,Donovan,,
882,Craig David,,
883,Metronomy,,
884,Bob Sinclar,,
885,Brad Paisley,,
886,Siouxsie and the Banshees,,
887,The Crystal Method,,
888,Danny Elfman,,
889,Story of the Year,,
890,Clint Mansell,,
891,The Vaccines,,
892,Curtis Mayfield,,
893,Clean Bandit,,
894,Everything But the Girl,,
895,Sneaker Pimps,,
896,Burial,,
897,Pixie Lott,,
898,Matt & Kim,,
899,Kenny Chesney,,
900,Yeasayer,,
901,The Jesus and Mary Chain,,
902,Carpenters,,
903,The Lonely Island,,
904,Deerhunter,,
905,The Bangles,,
906,Simian Mobile Disco,,
907,Barry White,,
908,Mazzy Star,,
909,Ra Ra Riot,,
910,Vangelis,,
911,Boney M.,,
912,M. Ward,,
913,Camera Obscura,,
914,Hard-Fi,,
915,Take That,,
916,"Crosby, Stills, Nash & Young",,
917,Kavinsky,,
918,Johannes Brahms,,
919,Roxy Music,,
920,Eric Prydz,,
921,Neil Diamond,,
922,Alphaville,,
923,Thrice,,
924,Phantom Planet,,
925,Coheed and Cambria,,
926,Alkaline Trio,,
927,CocoRosie,,
928,Flogging Molly,,
929,Martin Solveig,,
930,The Corrs,,
931,Tokyo Police Club,,
932,Lloyd,,
933,The Coral,,
934,Alter Bridge,,
935,Mike Oldfield,,
936,Damian Marley,,
937,Mastodon,,
938,Hellogoodbye,,
939,Daniel Powter,,
940,Wolf Parade,,
941,Built to Spill,,
942,Tom Jones,,
943,Little Dragon,,
944,Ginuwine,,
945,The Wallflowers,,
946,Erik Satie,,
947,All That Remains,,
948,Omarion,,
949,Orbital,,
950,Serj Tankian,,
951,Suede,,
952,Pink,,
954,Blonde Redhead,,
955,The Jam,,
956,Dinosaur Jr.,,
957,Derek and the Dominos,,
958,Macy Gray,,
959,Erasure,,
960,Chromeo,,
961,Jem,,
962,Goldfinger,,
963,Stevie Ray Vaughan,,
964,Dead Kennedys,,
965,Talib Kweli,,
966,Opeth,,
967,The Four Tops,,
968,The Stranglers,,
969,Young the Giant,,
970,Chase & Status,,
971,Muddy Waters,,
972,Crowded House,,
973,Adema,,
974,John Lee Hooker,,
975,G-Unit,,
976,Starsailor,,
977,Aloe Blacc,,
978,Anti-Flag,,
979,Ashanti,,
980,Obie Trice,,
981,Matisyahu,,
982,Bone Thugs-N-Harmony,,
983,Boyz II Men,,
984,Bow Wow,,
985,The Chainsmokers,,
986,Lacuna Coil,,
987,Spin Doctors,,
988,Georg Friedrich Händel,,
